toi,tid,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_eqt,pl_insol,st_teff,st_logg,st_rad,ra,dec,tfopwg_disp,fe_h,gaia_source_id
1058.01,TIC 31553893,11.1296441,7.0473822,951.6169809,12.8402271,1518.2372485,1255.6817164,5785.0,4.344,3.4475601,288.911772,-31.790813,PC,0.07000000029802322,Gaia DR3 6757952644494426624
106.01,TIC 38846515,2.8493825,3.567,8049.0,16.3869,1864.0,2005.83,6900.0,4.438,1.77,68.959816,-64.027039,KP,-0.05000000074505806,Gaia DR3 4675352109659600000
1062.01,TIC 299799658,4.1150576,1.08,487.0,2.30057,826.0,77.3573,5394.0,4.50942,0.89,38.120968,-78.023683,CP,0.07000000029802322,Gaia DR3 4632865331094140928
1063.01,TIC 406976746,10.0665238,2.4023189,839.9044871,2.7272824,694.1792631,54.8791715,5552.0,4.61783,0.791742,230.555493,-83.056214,PC,0.09000000357627869,Gaia DR3 5771517717394679424
1064.01,TIC 79748331,6.4438657,1.9309449,1121.9512275,2.460344,712.2812841,60.831305,4803.0,4.52079,0.737189,296.003935,-47.56203,CP,-0.07999999821186066,Gaia DR3 6683371847364921088
1064.02,TIC 79748331,12.2265595,2.1904379,1206.3693293,2.6014766,575.3502049,25.8970378,4803.0,4.52079,0.737189,296.003935,-47.56203,CP,-0.07999999821186066,Gaia DR3 6683371847364921088
1067.01,TIC 201642601,3.1316735,2.4579197,14915.6943722,9.4995191,890.5622134,148.6544991,4351.0,4.438,0.76701,288.672005,-59.57935,KP,0.37974995825708446,Gaia DR3 6638412919991750912
1069.01,TIC 31858843,2.9776446,2.962,13022.0,14.4339,1461.0,758.324,5703.0,4.25824,1.22,289.479212,-32.860124,KP,0.23999999463558197,Gaia DR3 6756148659453907200
107.01,TIC 92352620,3.9502008,4.444,13914.0,20.5357,1570.0,1009.38,6153.0,4.18077,1.71,313.783239,-34.135751,KP,0.3199999928474426,Gaia DR3 6780546169634170496
1072.01,TIC 140830390,12.8379689,9.8464123,10539.0192794,25.4886382,1225.0,374.129,5765.0,4.34773,2.4494,75.627307,-72.913998,FP,-0.32269999384880066,Gaia DR3 4649937757389347456
1073.01,TIC 158297421,3.9228016,1.8736007,31510.9004906,13.3368705,788.0973496,91.167589,4444.0,4.438,0.6983,287.484402,-49.664942,CP,0.17872792517781555,Gaia DR3 6658373007402886400
1074.01,TIC 327301957,13.9428705,3.7522756,1015.395543,2.4233421,587.1759148,28.0927293,5206.0,4.63095,0.741671,310.761004,-72.010267,PC,-0.2199999988079071,Gaia DR3 6373601591750055424
1075.01,TIC 351601843,0.6047392,1.0403847,1027.6833479,1.8625587,1222.5973095,528.0253155,4046.0,4.60963,0.580337,309.971209,-65.449699,CP,-1.0164719820022583,Gaia DR3 6426188308031756288
1076.01,TIC 360742636,2.5495611,2.6173308,14921.4021936,12.9171288,1337.8645148,757.1284067,5659.0,4.44653,1.03997,294.633694,-55.330269,KP,0.25999999046325684,Gaia DR3 6640975950310072960
1077.01,TIC 369960846,1.6062693,1.9561305,16725.3019333,12.6436029,1374.8018137,844.2700581,5192.0,4.4617,0.984326,173.810798,-88.096213,PC,0.3899304152059002,Gaia DR3 5188725633541065600
