toi,tid,tfopwg_disp,ra,dec,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_teff,st_logg,st_rad,Gaia_DR3_ID,Fe_H
5260.01,TIC 326347927,FP,303.964054,21.899468,7.2617331,6.258,1310.0,3.97249,306.111,1165.0,4780.0,4.25,1.09,Gaia DR3 596931979481073152,0.335999995470047
5261.01,TIC 402828941,PC,305.458545,19.435847,4.1509756,2.029,9780.0,10.8804,159.592,990.0,5686.0,4.41,1.04,Gaia DR3 596931979481073152,0.44699999690055847
5262.01,TIC 274122380,FP,298.455751,42.967308,2.873138,2.908,1240.0,3.97027,953.868,1548.0,5856.0,4.37,1.11,Gaia DR3 596931979481073152,0.335999995470047
5263.01,TIC 275527293,PC,304.702586,41.970517,3.1501356,2.201,16270.0,20.3727,357.357,1211.0,5950.0,4.09,1.56,Gaia DR3 3078836109158636928,-0.019999999552965164
5264.01,TIC 435719275,PC,297.552063,27.481047,4.4274169,5.435,10600.0,19.9341,1995.4,1861.0,6812.0,4.04,1.92,Gaia DR3 3078836109158636928,0.10000000149011612
5265.01,TIC 219847787,PC,255.603468,69.109664,11.5914514,1.968,832.0,3.16826,29.4907,649.0,5896.0,4.4,1.08,Gaia DR3 3078836109158636928,0.03999999910593033
5266.01,TIC 312899686,FP,308.105327,35.873629,4.4138638,2.387,11300.0,18.0459,709.493,1437.0,6006.0,4.46,1.03,Gaia DR3 3078836109158636928,0.2619999945163727
5267.01,TIC 153971295,PC,202.071927,70.416036,13.7036806,4.766,1020.0,2.8229,96.0669,872.0,5546.0,4.55,0.87,Gaia DR3 3078836109158636928,0.05000000074505806
5268.01,TIC 202468443,FP,229.00618,62.718259,2.0685871,0.598,38060.0,12.5176,6.13725,438.0,3162.0,4.92,0.31,Gaia DR3 3078836109158636928,-0.019999999552965164
5269.01,TIC 359321688,PC,291.219573,22.12466,2.7340756,1.994,1700.0,9.45026,2179.86,1903.0,8524.0,4.06,2.25,Gaia DR3 3078836109158636928,0.10000000149011612
527.01,TIC 148228019,APC,101.188744,-36.657354,18.0892103,2.5607235,5526.7158766,22.2024283,221.7006105,984.1503966,7403.0,4.13809,1.8368599,Gaia DR3 3078836109158636928,0.03999999910593033
5270.01,TIC 424112727,PC,300.066897,22.162093,1.0513177,2.562,5720.0,16.1359,13073.2,2978.0,7529.0,3.98,2.22,Gaia DR3 3078836109158636928,0.2619999945163727
5272.01,TIC 278668358,PC,307.952689,48.232153,5.0135727,4.396,3520.0,9.19425,635.189,1398.0,5930.0,4.08,1.56,Gaia DR3 3078836109158636928,0.05000000074505806
5273.01,TIC 172871230,FP,299.878862,41.742074,3.4100261,2.233,5200.0,7.9526,406.598,1251.0,6109.0,4.43,1.08,Gaia DR3 2398227794405981568,
5274.01,TIC 356682805,PC,174.64475,72.265344,6.1313492,2.447,3730.0,4.7793,39.468,698.0,4310.0,4.5,0.76,Gaia DR3 650072785203431936,0.27399998903274536
5275.01,TIC 219466803,FP,209.896071,74.073261,12.5951009,0.876,4280.0,8.14346,2.98815,366.0,5251.0,4.32,1.09,Gaia DR3 3034870693621314432,
5276.01,TIC 282935857,APC,313.175021,25.502871,2.3612205,2.303,2410.0,13.5272,875.429,1515.0,5766.0,3.59,2.7,,
5277.01,TIC 276381737,PC,308.119189,58.095462,15.9929608,3.747,7870.0,13.4988,53.3959,753.0,6132.0,4.13,1.54,,
5278.01,TIC 264301607,PC,295.80865,66.571374,0.435435,1.0529945,104138.5602976,17.9748711,252.7287521,1016.912095,3349.0,4.84,0.383284,Gaia DR3 5706296470044551424,
